data_in,data_out_L1,data_out_cic,fir_in,fir_out
1, -1,    0,     0,     x
1, -1,    0,     0,     x
0,  1,    0,     0,     x
1,  1,    0,     0,     x
0,  1,    0,     0,     x
1,  1,    0,     0,     x
1,  1,    0,     0,     x
0,  1,   -1,     0,     x
1,  1,   -1,     0,     x
1,  1,   -1,     0,     x
1,  1,   -1,     0,     x
1,  1,   -1,     0,     x
0, -1,   -1,     0,     x
1, -1,   -1,     0,     x
1, -1,   -1,     0,     x
1, -1,   -1,     0,     x
1, -1,   -1,     0,     x
1,  1,    0,     0,     x
1,  1,    0,     0,     x
1,  1,    0,     0,     x
1,  1,    0,     0,     x
1,  1,    0,     0,     x
1, -1,    0,     0,     x
1, -1,    0,     0,     x
1, -1,    0,     0,     x
1, -1,    0,     0,     x
1, -1,    0,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
0,  1,    1,     0,     x
1,  1,    1,     0,     x
1,  1,    1,     0,     x
1, -1,    2,     0,     x
1, -1,    2,     0,     x
1, -1,    2,     0,     x
0, -1,    2,     0,     x
1, -1,    2,     0,     x
1,  1,    4,     0,     x
0,  1,    4,     0,     x
1,  1,    4,     0,     x
1,  1,    4,     0,     x
0,  1,    4,     0,     x
1,  1,    5,     0,     x
0,  1,    5,     0,     x
1,  1,    5,     0,     x
0,  1,    5,     0,     x
1,  1,    5,     5,     x
0,  1,    7,     5,     x
0,  1,    7,     5,     x
1,  1,    7,     5,     x
0,  1,    7,     5,     x
0,  1,    7,     5,     0
0,  1,   10,     5,     0
1,  1,   10,     5,     0
0,  1,   10,     5,     0
0,  1,   10,     5,     0
0,  1,   10,     5,     0
0, -1,   14,     5,     0
0, -1,   14,     5,     0
0, -1,   14,     5,     0
0, -1,   14,     5,     0
0, -1,   14,     5,     0
0,  1,   19,     5,     0
0,  1,   19,     5,     0
0,  1,   19,     5,     0
0,  1,   19,     5,     0
0,  1,   19,     5,     0
0,  1,   23,     5,     0
0,  1,   23,     5,     0
0,  1,   23,     5,     0
0,  1,   23,     5,     0
0,  1,   23,     5,     0
0,  1,   28,     5,     0
0,  1,   28,     5,     0
1,  1,   28,     5,     0
0,  1,   28,     5,     0
0,  1,   28,     5,     0
0,  1,   34,     5,     0
0,  1,   34,     5,     0
0,  1,   34,     5,     0
0,  1,   34,     5,     0
0,  1,   34,     5,     0
1,  1,   41,     5,     0
0,  1,   41,     5,     0
0,  1,   41,     5,     0
0,  1,   41,     5,     0
1,  1,   41,     5,     0
0,  1,   49,     5,     0
1,  1,   49,     5,     0
0,  1,   49,     5,     0
0,  1,   49,     5,     0
1,  1,   49,     5,     0
1,  1,   58,     5,     0
0,  1,   58,     5,     0
1,  1,   58,     5,     0
0,  1,   58,     5,     0
1,  1,   58,    58,     0
1,  1,   68,    58,     0
0,  1,   68,    58,     0
1,  1,   68,    58,     0
1,  1,   68,    58,     0
1,  1,   68,    58,     0
1,  1,   79,    58,     0
0,  1,   79,    58,     0
1,  1,   79,    58,     0
1,  1,   79,    58,    11
1,  1,   79,    58,    11
1,  1,   91,    58,    11
1,  1,   91,    58,    11
1,  1,   91,    58,    11
1,  1,   91,    58,    11
1,  1,   91,    58,    11
1,  1,  104,    58,    11
1,  1,  104,    58,    11
1,  1,  104,    58,    11
1,  1,  104,    58,    11
1,  1,  104,    58,    11
1,  1,  118,    58,    11
1,  1,  118,    58,    11
1,  1,  118,    58,    11
1,  1,  118,    58,    11
1,  1,  118,    58,    11
1,  1,  133,    58,    11
1,  1,  133,    58,    11
1,  1,  133,    58,    11
0,  1,  133,    58,    11
1,  1,  133,    58,    11
1,  1,  149,    58,    11
1,  1,  149,    58,    11
1,  1,  149,    58,    11
1,  1,  149,    58,    11
0,  1,  149,    58,    11
1,  1,  166,    58,    11
1,  1,  166,    58,    11
0,  1,  166,    58,    11
1,  1,  166,    58,    11
1,  1,  166,    58,    11
0,  1,  184,    58,    11
1,  1,  184,    58,    11
0,  1,  184,    58,    11
1,  1,  184,    58,    11
0,  1,  184,    58,    11
1,  1,  203,    58,    11
0,  1,  203,    58,    11
0,  1,  203,    58,    11
1,  1,  203,    58,    11
0,  1,  203,   203,    11
0,  1,  223,   203,    11
0,  1,  223,   203,    11
1,  1,  223,   203,    11
0,  1,  223,   203,    11
0,  1,  223,   203,    11
0,  2,  244,   203,    11
0,  2,  244,   203,    11
0,  2,  244,   203,    11
0,  2,  244,   203,    86
0,  2,  244,   203,    86
0,  0,  266,   203,    86
0,  0,  266,   203,    86
0,  0,  266,   203,    86
0,  0,  266,   203,    86
0,  0,  266,   203,    86
0,  0,  291,   203,    86
0,  0,  291,   203,    86
0,  0,  291,   203,    86
0,  0,  291,   203,    86
0,  0,  291,   203,    86
0,  0,  315,   203,    86
0,  0,  315,   203,    86
0,  0,  315,   203,    86
1,  0,  315,   203,    86
0,  0,  315,   203,    86
0,  0,  338,   203,    86
0,  0,  338,   203,    86
0,  0,  338,   203,    86
0,  0,  338,   203,    86
0,  0,  338,   203,    86
0,  2,  362,   203,    86
1,  2,  362,   203,    86
0,  2,  362,   203,    86
0,  2,  362,   203,    86
0,  2,  362,   203,    86
1,  0,  385,   203,    86
0,  0,  385,   203,    86
1,  0,  385,   203,    86
0,  0,  385,   203,    86
0,  0,  385,   203,    86
1,  0,  411,   203,    86
1,  0,  411,   203,    86
0,  0,  411,   203,    86
1,  0,  411,   203,    86
0,  0,  411,   203,    86
1,  2,  436,   203,    86
1,  2,  436,   203,    86
0,  2,  436,   203,    86
1,  2,  436,   203,    86
1,  2,  436,   436,    86
1, -2,  460,   436,    86
1, -2,  460,   436,    86
0, -2,  460,   436,    86
1, -2,  460,   436,    86
1, -2,  460,   436,    86
1,  0,  487,   436,    86
1,  0,  487,   436,    86
1,  0,  487,   436,    86
1,  0,  487,   436,   313
1,  0,  487,   436,   313
1,  0,  511,   436,   313
1,  0,  511,   436,   313
1,  0,  511,   436,   313
1,  0,  511,   436,   313
1,  0,  511,   436,   313
1, -2,  534,   436,   313
1, -2,  534,   436,   313
1, -2,  534,   436,   313
1, -2,  534,   436,   313
1, -2,  534,   436,   313
1,  2,  556,   436,   313
1,  2,  556,   436,   313
1,  2,  556,   436,   313
1,  2,  556,   436,   313
0,  2,  556,   436,   313
1,  0,  575,   436,   313
1,  0,  575,   436,   313
1,  0,  575,   436,   313
1,  0,  575,   436,   313
1,  0,  575,   436,   313
0, -2,  597,   436,   313
1, -2,  597,   436,   313
1, -2,  597,   436,   313
0, -2,  597,   436,   313
1, -2,  597,   436,   313
1,  0,  618,   436,   313
0,  0,  618,   436,   313
1,  0,  618,   436,   313
0,  0,  618,   436,   313
1,  0,  618,   436,   313
0, -2,  636,   436,   313
1, -2,  636,   436,   313
0, -2,  636,   436,   313
0, -2,  636,   436,   313
1, -2,  636,   436,   313
0,  0,  653,   436,   313
0,  0,  653,   436,   313
0,  0,  653,   436,   313
1,  0,  653,   436,   313
0,  0,  653,   653,   313
0, -2,  667,   653,   313
0, -2,  667,   653,   313
0, -2,  667,   653,   313
0, -2,  667,   653,   313
0, -2,  667,   653,   313
0,  0,  680,   653,   313
0,  0,  680,   653,   313
0,  0,  680,   653,   313
0,  0,  680,   653,   725
0,  0,  680,   653,   725
0, -2,  690,   653,   725
0, -2,  690,   653,   725
0, -2,  690,   653,   725
0, -2,  690,   653,   725
0, -2,  690,   653,   725
0, -2,  699,   653,   725
0, -2,  699,   653,   725
0, -2,  699,   653,   725
0, -2,  699,   653,   725
1, -2,  699,   653,   725
0,  0,  705,   653,   725
0,  0,  705,   653,   725
0,  0,  705,   653,   725
0,  0,  705,   653,   725
0,  0,  705,   653,   725
0, -2,  708,   653,   725
0, -2,  708,   653,   725
1, -2,  708,   653,   725
0, -2,  708,   653,   725
0, -2,  708,   653,   725
0, -2,  710,   653,   725
1, -2,  710,   653,   725
0, -2,  710,   653,   725
1, -2,  710,   653,   725
0, -2,  710,   653,   725
0, -2,  709,   653,   725
1, -2,  709,   653,   725
1, -2,  709,   653,   725
0, -2,  709,   653,   725
1, -2,  709,   653,   725
0,  0,  705,   653,   725
1,  0,  705,   653,   725
1,  0,  705,   653,   725
0,  0,  705,   653,   725
1,  0,  705,   653,   725
1, -2,  698,   653,   725
1, -2,  698,   653,   725
1, -2,  698,   653,   725
0, -2,  698,   653,   725
1, -2,  698,   698,   725
1, -2,  690,   698,   725
1, -2,  690,   698,   725
1, -2,  690,   698,   725
1, -2,  690,   698,   725
1, -2,  690,   698,   725
1, -2,  679,   698,   725
1, -2,  679,   698,   725
1, -2,  679,   698,   725
1, -2,  679,   698,  1199
1, -2,  679,   698,  1199
1, -2,  665,   698,  1199
1, -2,  665,   698,  1199
1, -2,  665,   698,  1199
1, -2,  665,   698,  1199
1, -2,  665,   698,  1199
1, -2,  648,   698,  1199
1, -2,  648,   698,  1199
1, -2,  648,   698,  1199
1, -2,  648,   698,  1199
1, -2,  648,   698,  1199
0, -2,  628,   698,  1199
1, -2,  628,   698,  1199
1, -2,  628,   698,  1199
1, -2,  628,   698,  1199
1, -2,  628,   698,  1199
1, -2,  604,   698,  1199
0, -2,  604,   698,  1199
1, -2,  604,   698,  1199
1, -2,  604,   698,  1199
0, -2,  604,   698,  1199
1,  0,  578,   698,  1199
1,  0,  578,   698,  1199
0,  0,  578,   698,  1199
1,  0,  578,   698,  1199
0,  0,  578,   698,  1199
1, -2,  550,   698,  1199
0, -2,  550,   698,  1199
1, -2,  550,   698,  1199
0, -2,  550,   698,  1199
0, -2,  550,   698,  1199
1, -2,  522,   698,  1199
0, -2,  522,   698,  1199
0, -2,  522,   698,  1199
0, -2,  522,   698,  1199
1, -2,  522,   698,  1199
0, -2,  492,   698,  1199
0, -2,  492,   698,  1199
0, -2,  492,   698,  1199
0, -2,  492,   698,  1199
0, -2,  492,   492,  1199
0, -2,  458,   492,  1199
0, -2,  458,   492,  1199
0, -2,  458,   492,  1199
0, -2,  458,   492,  1199
0, -2,  458,   492,  1199
0, -2,  422,   492,  1199
0, -2,  422,   492,  1199
0, -2,  422,   492,  1199
0, -2,  422,   492,  1464
0, -2,  422,   492,  1464
0,  0,  384,   492,  1464
0,  0,  384,   492,  1464
0,  0,  384,   492,  1464
0,  0,  384,   492,  1464
0,  0,  384,   492,  1464
1, -2,  342,   492,  1464
0, -2,  342,   492,  1464
0, -2,  342,   492,  1464
0, -2,  342,   492,  1464
0, -2,  342,   492,  1464
0, -2,  302,   492,  1464
0, -2,  302,   492,  1464
0, -2,  302,   492,  1464
1, -2,  302,   492,  1464
0, -2,  302,   492,  1464
0,  0,  260,   492,  1464
0,  0,  260,   492,  1464
1,  0,  260,   492,  1464
0,  0,  260,   492,  1464
1,  0,  260,   492,  1464
0, -2,  216,   492,  1464
0, -2,  216,   492,  1464
1, -2,  216,   492,  1464
1, -2,  216,   492,  1464
0, -2,  216,   492,  1464
1, -2,  174,   492,  1464
0, -2,  174,   492,  1464
1, -2,  174,   492,  1464
1, -2,  174,   492,  1464
0, -2,  174,   492,  1464
1,  0,  128,   492,  1464
1,  0,  128,   492,  1464
1,  0,  128,   492,  1464
1,  0,  128,   492,  1464
0,  0,  128,   492,  1464
1,  0,   80,   492,  1464
1,  0,   80,   492,  1464
1,  0,   80,   492,  1464
1,  0,   80,   492,  1464
1,  0,   80,    80,  1464
1,  0,   34,    80,  1464
1,  0,   34,    80,  1464
1,  0,   34,    80,  1464
1,  0,   34,    80,  1464
1,  0,   34,    80,  1464
1, -2,  -12,    80,  1464
1, -2,  -12,    80,  1464
1, -2,  -12,    80,  1464
1, -2,  -12,    80,  1278
1, -2,  -12,    80,  1278
1,  0,  -56,    80,  1278
1,  0,  -56,    80,  1278
1,  0,  -56,    80,  1278
1,  0,  -56,    80,  1278
1,  0,  -56,    80,  1278
1, -2, -102,    80,  1278
0, -2, -102,    80,  1278
1, -2, -102,    80,  1278
1, -2, -102,    80,  1278
1, -2, -102,    80,  1278
1,  0, -146,    80,  1278
1,  0, -146,    80,  1278
0,  0, -146,    80,  1278
1,  0, -146,    80,  1278
1,  0, -146,    80,  1278
0,  0, -192,    80,  1278
1,  0, -192,    80,  1278
1,  0, -192,    80,  1278
0,  0, -192,    80,  1278
1,  0, -192,    80,  1278
0, -2, -236,    80,  1278
1, -2, -236,    80,  1278
0, -2, -236,    80,  1278
1, -2, -236,    80,  1278
0, -2, -236,    80,  1278
0,  2, -278,    80,  1278
1,  2, -278,    80,  1278
0,  2, -278,    80,  1278
0,  2, -278,    80,  1278
0,  2, -278,    80,  1278
1,  0, -322,    80,  1278
0,  0, -322,    80,  1278
0,  0, -322,    80,  1278
0,  0, -322,    80,  1278
0,  0, -322,    80,  1278
0,  0, -362,    80,  1278
0,  0, -362,    80,  1278
0,  0, -362,    80,  1278
0,  0, -362,    80,  1278
0,  0, -362,  -362,  1278
0, -2, -400,  -362,  1278
0, -2, -400,  -362,  1278
0, -2, -400,  -362,  1278
0, -2, -400,  -362,  1278
0, -2, -400,  -362,  1278
0,  2, -436,  -362,  1278
0,  2, -436,  -362,  1278
0,  2, -436,  -362,  1278
0,  2, -436,  -362,   611
0,  2, -436,  -362,   611
0,  0, -474,  -362,   611
1,  0, -474,  -362,   611
0,  0, -474,  -362,   611
0,  0, -474,  -362,   611
0,  0, -474,  -362,   611
0,  2, -508,  -362,   611
0,  2, -508,  -362,   611
0,  2, -508,  -362,   611
0,  2, -508,  -362,   611
1,  2, -508,  -362,   611
0,  0, -540,  -362,   611
0,  0, -540,  -362,   611
0,  0, -540,  -362,   611
1,  0, -540,  -362,   611
0,  0, -540,  -362,   611
1,  0, -568,  -362,   611
0,  0, -568,  -362,   611
0,  0, -568,  -362,   611
1,  0, -568,  -362,   611
1,  0, -568,  -362,   611
0,  2, -594,  -362,   611
1,  2, -594,  -362,   611
0,  2, -594,  -362,   611
1,  2, -594,  -362,   611
1,  2, -594,  -362,   611
0,  2, -618,  -362,   611
1,  2, -618,  -362,   611
1,  2, -618,  -362,   611
1,  2, -618,  -362,   611
1,  2, -618,  -362,   611
0,  0, -638,  -362,   611
1,  0, -638,  -362,   611
1,  0, -638,  -362,   611
1,  0, -638,  -362,   611
1,  0, -638,  -362,   611
1,  2, -654,  -362,   611
1,  2, -654,  -362,   611
